id,reading_time,year,month,day,hour,minute,temperature,humidity,pm25,pm10,mq2_adc,mq7_adc,mq8_adc,quality_flag,created_at
1,1/1/2026 0:01,2026,1,1,0,1,23.9,72.8,255,289,790,738,337,0,4/12/2026 15:12
2,1/1/2026 0:05,2026,1,1,0,5,25,50,0,0,602,1723,1554,0,4/12/2026 15:12
3,3/9/2026 0:00,2026,3,9,0,0,24.2,72.7,140,149,524,560,318,0,4/12/2026 15:12
4,3/9/2026 0:01,2026,3,9,0,1,24.1,72.5,135,143,469,622,252,0,4/12/2026 15:12
5,3/9/2026 0:02,2026,3,9,0,2,24.1,72.5,141,152,465,618,317,0,4/12/2026 15:12
6,3/9/2026 0:03,2026,3,9,0,3,24.1,72.9,139,148,466,619,319,0,4/12/2026 15:12
7,3/9/2026 0:04,2026,3,9,0,4,24.1,72.8,135,144,530,625,312,0,4/12/2026 15:12
8,3/9/2026 0:05,2026,3,9,0,5,24.1,72.7,136,145,444,549,340,0,4/12/2026 15:12
9,3/9/2026 0:06,2026,3,9,0,6,24.1,72.8,140,149,461,631,311,0,4/12/2026 15:12
10,3/9/2026 0:07,2026,3,9,0,7,24.1,72.6,137,146,460,626,320,0,4/12/2026 15:12
11,3/9/2026 0:08,2026,3,9,0,8,24.1,72.8,148,159,463,633,285,0,4/12/2026 15:12
12,3/9/2026 0:09,2026,3,9,0,9,24.1,72.9,135,143,441,621,256,0,4/12/2026 15:12
13,3/9/2026 0:10,2026,3,9,0,10,24.1,72.5,140,149,468,615,286,0,4/12/2026 15:12
14,3/9/2026 0:11,2026,3,9,0,11,24.1,72.9,131,140,465,643,316,0,4/12/2026 15:12
15,3/9/2026 0:12,2026,3,9,0,12,24.1,72.7,137,146,462,625,318,0,4/12/2026 15:12
16,3/9/2026 0:13,2026,3,9,0,13,24.1,72.7,133,144,463,616,314,0,4/12/2026 15:12
17,3/9/2026 0:14,2026,3,9,0,14,24.1,72.8,0,0,462,559,318,0,4/12/2026 15:12
18,3/9/2026 0:15,2026,3,9,0,15,24.1,72.7,133,143,460,617,301,0,4/12/2026 15:12
19,3/9/2026 0:16,2026,3,9,0,16,24.1,72.4,136,145,416,616,314,0,4/12/2026 15:12
20,3/9/2026 0:18,2026,3,9,0,18,24.1,72.5,127,135,413,631,316,0,4/12/2026 15:12
21,3/9/2026 0:19,2026,3,9,0,19,24.1,72.5,132,141,448,562,281,0,4/12/2026 15:12
22,3/9/2026 0:20,2026,3,9,0,20,24.1,72.6,137,148,453,613,319,0,4/12/2026 15:12
23,3/9/2026 0:21,2026,3,9,0,21,24.1,72.5,134,145,459,566,317,0,4/12/2026 15:12
24,3/9/2026 0:22,2026,3,9,0,22,24.2,72.7,136,146,462,617,281,0,4/12/2026 15:12
25,3/9/2026 0:23,2026,3,9,0,23,24.2,72.3,134,145,463,628,317,0,4/12/2026 15:12
26,3/9/2026 0:24,2026,3,9,0,24,24.2,72.2,142,154,457,616,316,0,4/12/2026 15:12
27,3/9/2026 0:25,2026,3,9,0,25,24.2,72.2,137,146,459,614,325,0,4/12/2026 15:12
28,3/9/2026 0:26,2026,3,9,0,26,24.1,72.2,139,148,461,611,327,0,4/12/2026 15:12
29,3/9/2026 0:27,2026,3,9,0,27,24.2,72.2,139,149,412,550,254,0,4/12/2026 15:12
30,3/9/2026 0:28,2026,3,9,0,28,24.1,72.2,137,148,463,616,319,0,4/12/2026 15:12
31,3/9/2026 0:29,2026,3,9,0,29,24.1,72.3,136,146,474,609,317,0,4/12/2026 15:12
32,3/9/2026 0:30,2026,3,9,0,30,24.1,72.4,137,146,460,569,317,0,4/12/2026 15:12
33,3/9/2026 0:31,2026,3,9,0,31,24.1,72.3,134,145,438,599,321,0,4/12/2026 15:12
34,3/9/2026 0:32,2026,3,9,0,32,24.1,72.2,139,149,458,596,316,0,4/12/2026 15:12
35,3/9/2026 0:33,2026,3,9,0,33,24.1,72.4,134,144,441,609,321,0,4/12/2026 15:12
36,3/9/2026 0:34,2026,3,9,0,34,24.1,72.5,144,154,414,609,307,0,4/12/2026 15:12
37,3/9/2026 0:35,2026,3,9,0,35,24.1,72.3,142,151,460,548,312,0,4/12/2026 15:12
38,3/9/2026 0:36,2026,3,9,0,36,24.1,72.1,136,144,459,601,325,0,4/12/2026 15:12
39,3/9/2026 0:37,2026,3,9,0,37,24.1,72.2,137,146,442,600,320,0,4/12/2026 15:12
40,3/9/2026 0:38,2026,3,9,0,38,24.1,72.4,133,142,459,582,319,0,4/12/2026 15:12
41,3/9/2026 0:39,2026,3,9,0,39,24.1,71.9,129,137,455,533,319,0,4/12/2026 15:12
