reading_time,pm25,pm10,co,lpg,hydrogen,temperature,humidity,anomaly_score
2026-03-19 19:39:32,362.0,397.0,1.323,0.775,1.015,25.0,50.0,-0.678517943191889
2026-03-17 17:21:30,2.0,2.0,1.006,1.171,1.087,28.1,68.6,-0.6778713283882318
2026-03-17 17:18:58,2.0,2.0,1.027,1.163,1.09,28.1,68.4,-0.6769546717970752
2026-03-17 17:20:29,2.0,2.0,1.005,1.101,1.091,28.1,68.3,-0.6769546717970752
2026-03-17 17:23:01,2.0,2.0,0.988,1.127,1.11,28.1,68.4,-0.6769546717970752
2026-03-17 17:24:02,2.0,2.0,1.16,1.233,1.222,28.1,68.0,-0.6757156909931048
2026-03-17 17:25:35,2.0,2.0,1.187,1.351,1.241,28.1,68.0,-0.6757156909931048
2026-03-19 19:40:04,356.0,389.0,1.276,0.834,1.011,25.0,50.0,-0.6749366312789835
2026-03-17 17:23:31,2.0,2.0,1.087,1.166,1.153,28.1,68.1,-0.6734336532112586
2026-03-17 17:31:38,2.0,2.0,1.073,1.177,1.169,28.0,68.0,-0.6728337570707319
2026-03-17 17:27:35,2.0,2.0,1.087,1.16,1.173,28.0,67.9,-0.6728337570707319
2026-03-17 17:36:12,2.0,2.0,1.061,1.181,1.155,28.0,67.9,-0.6728337570707319
2026-03-17 17:27:05,2.0,2.0,1.089,1.239,1.164,28.0,68.0,-0.6728337570707319
2026-03-17 17:24:32,2.0,2.0,1.019,1.124,1.127,28.1,68.1,-0.6725229974996643
2026-03-17 17:17:53,2.0,2.0,0.99,1.236,1.028,28.1,68.1,-0.6725229974996643
2026-03-17 17:32:09,2.0,2.0,1.029,1.317,1.151,28.1,68.2,-0.6725229974996643
2026-03-17 17:26:35,2.0,2.0,0.981,1.195,1.099,28.0,67.8,-0.6719239125731957
2026-03-17 17:35:41,2.0,2.0,0.986,1.092,1.107,28.0,67.8,-0.6719239125731957
2026-03-17 17:36:42,2.0,2.0,1.027,1.169,1.121,28.0,67.8,-0.6719239125731957
2026-03-17 17:34:40,2.0,2.0,1.031,1.24,1.132,28.0,68.0,-0.6719239125731957
2026-03-17 17:31:08,2.0,2.0,1.04,1.139,1.135,28.0,68.2,-0.670561452201978
2026-03-17 17:19:29,2.0,2.0,0.962,1.196,1.07,28.1,68.3,-0.6696789715873794
2026-03-17 17:21:00,2.0,2.0,0.951,1.135,1.083,28.1,68.5,-0.6696789715873794
2026-03-17 17:33:40,2.0,2.0,1.004,1.132,1.125,28.0,68.1,-0.669654680445754
2026-03-17 17:35:11,2.0,2.0,1.014,1.218,1.104,28.0,68.1,-0.669654680445754
2026-03-17 17:33:10,2.0,2.0,0.998,1.145,1.09,28.0,68.2,-0.669654680445754
2026-03-17 17:22:31,2.0,2.0,0.919,1.128,1.037,28.1,68.5,-0.6684587509782796
2026-03-17 17:22:00,2.0,2.0,0.923,1.119,1.044,28.1,68.4,-0.6662012214497048
2026-03-19 19:45:06,324.0,358.0,1.261,0.872,1.105,25.0,50.0,-0.6655066848331972
2026-03-17 17:18:27,2.0,2.0,0.879,1.093,1.011,28.1,68.4,-0.6643348322662401
2026-03-19 19:42:34,335.0,367.0,1.235,0.72,0.944,25.0,50.0,-0.6639103691383741
2026-03-17 17:19:59,2.0,2.0,0.918,1.12,1.042,28.1,68.2,-0.6631846842994439
2026-03-22 04:59:47,424.0,500.0,0.565,0.405,0.339,25.0,50.0,-0.6617163901710967
2026-03-17 17:25:04,2.0,2.0,0.91,1.085,1.041,28.1,68.2,-0.6613923040662639
2026-03-10 04:13:13,500.0,600.0,0.401,0.35,0.279,23.4,78.3,-0.65941369724203
2026-03-17 17:17:23,2.0,2.0,0.871,1.194,0.973,28.1,68.2,-0.6569631507492827
2026-03-17 17:28:36,2.0,2.0,0.885,1.021,0.998,28.0,67.8,-0.6567264454245397
2026-03-19 19:46:30,308.0,336.0,1.187,0.708,0.853,25.0,50.0,-0.6557584034460111
2026-03-17 17:29:37,2.0,2.0,0.89,1.015,1.0,28.0,68.1,-0.654508538424935
2026-03-19 19:44:08,335.0,367.0,1.395,0.839,1.021,25.0,50.0,-0.6542587866249104
2026-03-17 17:32:39,2.0,2.0,0.877,1.044,0.968,28.0,68.1,-0.6532766022039537
2026-03-20 05:03:07,500.0,600.0,0.525,0.446,0.328,12.4,36.4,-0.6532020193081429
2026-03-17 17:29:07,2.0,2.0,0.83,0.986,0.936,28.1,67.8,-0.6505343780676294
2026-03-16 16:51:15,500.0,598.0,0.815,0.499,0.342,25.0,50.0,-0.6494855008058621
2026-03-09 04:51:47,206.0,224.0,0.397,0.362,0.243,11.2,39.4,-0.6476678183806742
2026-03-09 04:25:35,203.0,600.0,0.37,0.367,0.28,22.5,76.1,-0.6470920851648856
2026-03-20 08:05:41,500.0,600.0,0.45,0.413,0.348,25.0,50.0,-0.6453170495540604
2026-03-20 08:22:23,500.0,600.0,0.519,0.439,0.355,25.0,50.0,-0.64375206436968
2026-03-19 19:41:43,349.0,384.0,1.249,0.414,0.953,25.0,50.0,-0.6436605455961477
2026-03-09 04:25:04,257.0,600.0,0.37,0.372,0.28,22.5,76.0,-0.6432251800807133
2026-03-10 04:29:17,500.0,600.0,0.403,0.378,0.276,23.4,78.7,-0.6427169897202464
2026-04-04 13:22:49,341.0,600.0,1.035,0.578,0.396,29.6,66.7,-0.64171967297997
2026-03-17 17:16:52,2.0,2.0,0.778,1.115,0.974,28.1,68.1,-0.6406805923993961
2026-03-10 05:08:38,305.0,600.0,0.41,0.351,0.276,23.8,78.1,-0.6399431088962326
2026-03-19 19:45:57,308.0,336.0,1.235,0.405,0.919,25.0,50.0,-0.6379982624696223
2026-03-18 12:00:43,172.0,189.0,1.1,0.552,0.318,14.0,37.1,-0.6354503605273955
2026-03-17 17:34:10,2.0,2.0,0.813,0.99,0.89,28.0,68.1,-0.6352362319543514
2026-03-24 05:35:48,500.0,600.0,0.492,0.446,0.352,23.3,75.4,-0.6347176854667065
2026-03-11 04:20:56,190.0,600.0,0.389,0.375,0.295,21.8,79.6,-0.6336608711726169
2026-03-27 08:24:04,486.0,600.0,0.571,0.45,0.365,24.7,95.1,-0.6335736922148297
2026-03-20 04:58:25,406.0,451.0,0.493,0.441,0.35,25.0,50.0,-0.6326367240809443
2026-04-04 13:27:20,352.0,600.0,1.038,0.584,0.416,29.6,66.4,-0.6311180397502755
2026-03-19 16:03:20,500.0,568.0,0.56,0.496,0.301,13.4,34.2,-0.6309629712646018
2026-03-22 04:44:35,500.0,600.0,0.496,0.332,0.352,24.0,74.5,-0.630858082152811
2026-03-10 15:28:49,39.0,600.0,0.436,0.318,0.289,26.1,68.9,-0.6292878214433896
2026-03-17 17:30:38,2.0,2.0,0.773,0.913,0.93,28.0,68.1,-0.6290244841235857
2026-03-12 16:13:57,500.0,269.0,0.876,0.553,0.294,27.1,73.8,-0.6286546474854814
2026-04-04 13:21:19,352.0,600.0,1.062,0.6,0.407,29.6,67.5,-0.6280223442175629
2026-03-12 04:05:38,500.0,600.0,0.481,0.361,0.268,24.1,69.2,-0.6273463409405895
2026-03-16 13:09:46,500.0,410.0,0.948,0.553,0.345,28.4,74.3,-0.6270268061002245
2026-03-10 15:29:19,500.0,600.0,0.459,0.343,0.255,26.1,69.2,-0.6258343265978323
2026-03-12 00:11:09,500.0,303.0,0.588,0.463,0.255,24.7,69.8,-0.6251231479040859
2026-03-10 03:43:36,497.0,551.0,0.425,0.328,0.247,24.2,74.4,-0.6242153630838911
2026-03-18 04:05:03,500.0,600.0,0.502,0.411,0.321,23.3,73.5,-0.6238627954318562
2026-03-21 05:33:47,498.0,600.0,0.471,0.41,0.35,23.9,69.6,-0.6237166160840613
2026-03-27 13:40:42,264.0,550.0,0.773,0.45,0.37,26.7,84.8,-0.6233813096320749
2026-03-17 17:26:05,2.0,2.0,0.735,0.637,1.183,28.0,67.8,-0.6232581420791231
2026-04-04 13:20:49,394.0,600.0,1.061,0.59,0.405,29.6,67.4,-0.6229244591591867
2026-04-05 05:47:26,500.0,600.0,0.561,0.479,0.392,24.3,73.6,-0.6220754396518235
2026-03-11 04:27:28,293.0,503.0,0.393,0.876,0.299,22.1,80.4,-0.6219822944063154
2026-03-11 04:21:26,180.0,600.0,0.388,0.372,0.301,21.8,79.6,-0.6218796024465654
2026-03-15 13:35:25,472.0,237.0,0.787,0.512,0.333,28.2,76.5,-0.6216464419604029
2026-03-10 14:27:48,500.0,600.0,0.408,0.358,0.263,26.8,67.3,-0.6210434259153398
2026-03-10 05:09:08,209.0,560.0,0.416,0.39,0.276,23.8,78.5,-0.6205680617765752
2026-03-10 05:17:09,170.0,186.0,0.362,0.405,0.257,12.0,39.0,-0.6202486838664334
2026-04-04 13:27:50,377.0,600.0,1.005,0.575,0.399,29.6,67.3,-0.6198962951726226
2026-03-29 11:12:03,500.0,600.0,0.766,0.471,0.365,13.3,38.2,-0.6189407676784772
2026-03-24 06:11:11,500.0,600.0,0.562,0.452,0.351,23.0,77.8,-0.6186658474908366
2026-04-04 18:03:01,500.0,337.0,0.624,0.392,0.414,27.9,63.2,-0.6186493934693901
2026-03-27 08:28:04,500.0,600.0,0.566,0.452,0.366,24.9,88.3,-0.6177890415312287
2026-04-04 23:11:16,208.0,219.0,0.816,0.516,0.398,13.3,34.1,-0.6177557374707839
2026-03-22 05:18:22,500.0,600.0,0.597,0.489,0.332,23.9,74.3,-0.617363223988258
2026-03-29 11:55:27,500.0,313.0,0.768,0.523,0.372,26.9,76.3,-0.6170413072531247
2026-03-12 04:05:06,415.0,464.0,0.629,0.334,0.261,24.3,70.0,-0.6166924396585695
2026-04-04 14:24:43,500.0,568.0,0.578,0.475,0.412,29.0,56.5,-0.6163784227282386
2026-03-14 05:46:03,500.0,366.0,0.467,0.421,0.3,24.6,75.5,-0.6160620660764595
2026-04-03 14:54:12,344.0,600.0,0.578,0.49,0.401,25.0,50.0,-0.6155609395668079
2026-03-22 05:11:19,500.0,600.0,0.696,0.486,0.317,23.8,74.9,-0.6155279885672975
2026-03-10 03:46:36,500.0,600.0,0.342,0.354,0.265,23.9,75.6,-0.6151842306987824
2026-04-02 18:04:59,500.0,552.0,0.532,0.366,0.35,24.8,68.8,-0.6139233994240403
2026-04-05 14:36:12,373.0,600.0,0.712,0.495,0.409,28.6,71.0,-0.6135457449214627
2026-03-10 14:52:57,215.0,232.0,0.404,0.387,0.267,13.3,33.0,-0.6135450340545692
2026-03-21 10:16:36,500.0,122.0,0.48,0.405,0.306,26.8,69.6,-0.6135000803899533
2026-03-31 11:55:26,220.0,600.0,1.021,0.515,0.39,27.6,75.8,-0.6134089152279528
2026-03-28 15:16:20,343.0,431.0,0.409,0.408,0.368,26.5,56.4,-0.6127202597527529
2026-03-18 16:16:52,313.0,346.0,0.488,0.442,0.284,13.4,31.0,-0.6125683670186729
2026-03-13 18:30:41,500.0,369.0,0.801,0.452,0.256,27.0,71.9,-0.612537886981533
2026-04-02 22:52:07,500.0,275.0,0.789,0.446,0.394,25.7,68.5,-0.6125260853828967
2026-04-04 16:10:28,500.0,325.0,0.545,0.426,0.362,27.3,60.2,-0.6117878837804727
2026-03-09 03:13:28,63.0,208.0,0.374,0.37,0.278,22.3,75.5,-0.6116202948163549
2026-03-09 11:45:12,382.0,600.0,0.641,0.46,0.276,25.0,50.0,-0.6114349886675355
2026-03-10 04:14:14,444.0,491.0,0.416,0.385,0.256,23.4,78.6,-0.6113328013441234
2026-03-16 08:12:23,317.0,392.0,0.506,0.386,0.332,13.1,34.1,-0.6113283950265186
2026-03-17 01:05:11,500.0,307.0,0.692,0.428,0.342,25.6,66.6,-0.6111973950585293
2026-04-04 04:26:13,500.0,600.0,0.491,0.468,0.315,23.9,73.9,-0.6101785273221106
2026-03-14 05:16:57,500.0,600.0,0.484,0.423,0.288,24.2,77.2,-0.6101373926432639
2026-03-18 03:34:56,500.0,308.0,0.501,0.438,0.365,24.4,67.9,-0.6093412487339062
2026-03-14 07:55:57,500.0,319.0,0.525,0.355,0.314,26.3,73.1,-0.6092996935415526
2026-03-10 05:23:10,183.0,200.0,0.361,0.401,0.288,12.1,39.0,-0.609281907556439
